X,Y,Year
-119.588735745445,49.131073418597,1998
-119.5659031419,49.1326724863906,1998
-119.581485608819,49.1327481149754,1998
-119.583872847253,49.134585249977,1998
-119.580246864795,49.1349179402335,1998
-119.566687460393,49.1356597593232,1998
-119.583276679524,49.1363409923443,1998
-119.565802828899,49.1373696430562,1998
-119.567994478826,49.1376689695279,1998
-119.578778594786,49.1377105947391,1998
-119.581886217596,49.1389951046873,1998
-119.568648517448,49.1399226582635,1998
-119.566702951575,49.1408237864944,1998
-119.57486447815,49.1415046457127,1998
-119.582580542632,49.1417130357664,1998
-119.566479114445,49.1431210315069,1998
-119.583716787334,49.1439482910436,1998
-119.56295197858,49.1442725516312,1998
-119.578985012083,49.1450850759976,1998
-119.586889368592,49.1454061093328,1998
-119.561970738182,49.1461060931805,1998
-119.578520559145,49.1470824657545,1998
-119.580601478255,49.1503159618641,1998
-119.573166680435,49.152035447471,1998
-119.581614851598,49.1521457137131,1998
-119.578014678812,49.152479997399,1998
-119.584695546932,49.1528017044957,1998
-119.572111150414,49.1536880985521,1998
-119.583557480594,49.1540341862388,1998
-119.590457902718,49.1547182499742,1998
-119.583222332133,49.1553695106791,1998
-119.548429672995,49.1554945451389,1998
-119.569129157875,49.1559709477126,1998
-119.58679894585,49.1564092084789,1998
-119.575891142263,49.1564734541012,1998
-119.564612418754,49.1566306496068,1998
-119.582126238736,49.1569149320827,1998
-119.568902401738,49.1575795626731,1998
-119.573443215263,49.1585002318391,1998
-119.544155822423,49.1586121716105,1998
-119.57900989098,49.1586766270706,1998
-119.562672620385,49.1588610125112,1998
-119.586971340002,49.1589249567176,1998
-119.571906357782,49.1592186911408,1998
-119.538730615189,49.1593213793026,1998
-119.561292270203,49.1595239429602,1998
-119.556750000071,49.1597361371675,1998
-119.570520526265,49.1602292162712,1998
-119.577427731506,49.1603889561165,1998
-119.573967895656,49.1608146200253,1998
-119.585946225878,49.1609998969816,1998
-119.569359343589,49.1612476779655,1998
-119.554749237299,49.1614414996337,1998
-119.585325331028,49.1619004318356,1998
-119.576373206596,49.1620720304084,1998
-119.563874358495,49.1622538606933,1998
-119.58520915493,49.1629174103548,1998
-119.559353387283,49.1632907660743,1998
-119.567268035906,49.1635611105734,1998
-119.579277873866,49.1642481275046,1998
-119.53886079384,49.1647869401399,1998
-119.584966095361,49.165051559468,1998
-119.548675063932,49.1650801814564,1998
-119.578071717539,49.1652310655843,1998
-119.570506126713,49.1658181759421,1998
-119.584412821961,49.1659767541317,1998
-119.590206094173,49.1665189217154,1998
-119.547958619282,49.1666001499044,1998
-119.557867119241,49.1667569302127,1998
-119.58405741114,49.1670661133085,1998
-119.576241688686,49.1673742748701,1998
-119.548889250137,49.167628967288,1998
-119.554258046421,49.1677067518879,1998
-119.550569662317,49.1685256020953,1998
-119.571229649106,49.1698313922786,1998
-119.577388748797,49.170096334261,1998
-119.563264398954,49.1704951208589,1998
-119.581475500295,49.1711782464598,1998
-119.577966644003,49.1716539740814,1998
-119.565459619797,49.172013559018,1998
-119.574649644338,49.1726472106194,1998
-119.569858195276,49.1731200784874,1998
-119.561334714139,49.1733445579116,1998
-119.557202654265,49.1739713094089,1998
-119.573912405751,49.1742290737199,1998
-119.567511229407,49.1744690030324,1998
-119.563115856702,49.1758692375384,1998
-119.457965540767,49.0118189809807,2009
-119.480148566053,49.0300985729911,2009
-119.491104768944,49.045663151516,2009
-119.496613587481,49.0490336922644,2009
-119.49420537916,49.0515068159454,2009
-119.471905804295,49.0008225008079,2015
-119.467813114041,49.0009867245373,2015
